collection_frequency,hourly_collection_plan_id,row_count,timeBox_start_date,timeBox_start_time,timeBox_end_date,timeBox_end_time,ownerSequence,inputRequest_exists,Collection_id,Collection_customer,Collection_name,collection_frequency_requestOwner,Collection_earliestStartTime,Collection_expectedDeliveryTime,Collection_hints,Collection_status,Collection_customerPackagingId,input_filename,input_reference,owner_timebox_start_date,owner_timebox_start_time,owner_timebox_end_date,owner_timebox_end_time,provider,site,hierarchy_customer,hierarchy_customerSiteCode,hierarchy_priority,requests_count,enrichment_request_count,file_collection_frequency,file_hourly_collection_plan_id,grouped_row_count
Daily,17544,9269,20250703,0,20250703,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250703,0,20250703,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17544,116
Daily,17545,9270,20250703,0,20250703,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250703,0,20250703,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17545,116
Daily,17546,9270,20250703,0,20250703,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250703,0,20250703,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17546,116
Daily,17525,9269,20250702,0,20250702,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250702,0,20250702,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17525,114
Daily,17528,9271,20250702,0,20250702,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250702,0,20250702,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17528,114
Daily,17527,9270,20250702,0,20250702,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250702,0,20250702,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17527,112
Daily,17533,9270,20250702,0,20250702,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250702,0,20250702,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17533,112
Daily,17506,9270,20250701,0,20250701,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250701,0,20250701,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17506,112
Daily,17543,9270,20250703,0,20250703,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250703,0,20250703,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17543,112
Daily,17552,9270,20250703,0,20250703,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250703,0,20250703,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17552,111
